"holder","issuer","isin","position","date"
"CQS (UK) LLP","Deutsche EuroShop AG","DE0007480204",0.65,"2013-01-31"
"BlackRock Institutional Trust Company, National Association","ElringKlinger AG","DE0007856023",0.81,"2013-01-31"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",1.56,"2013-01-31"
"AQR Capital Management, LLC","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",0.92,"2013-01-31"
"BlackRock Institutional Trust Company, National Association","Klöckner & Co SE","DE000KC01000",0.93,"2013-01-31"
"Highbridge Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888",0.57,"2013-01-31"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888",0.5,"2013-01-31"
"Cadian Capital Management LLC","Axel Springer Aktiengesellschaft","DE0005501357",1.11,"2013-01-30"
"Highbridge Capital Management, LLC","IVG Immobilien AG","DE0006205701",0.53,"2013-01-30"
"BlackRock Institutional Trust Company, National Association","WINCOR NIXDORF International GmbH","DE000A0CAYB2",0.61,"2013-01-30"
"Barrington Wilshire LLC","Nordex SE","DE000A0D6554",2,"2013-01-30"
"Barrington Wilshire LLC","Praktiker AG","DE000A0F6MD5",0.61,"2013-01-30"
"D. E. Shaw & Co. (U.K.), Ltd.","freenet AG","DE000A0Z2ZZ5",0.65,"2013-01-30"
"Saemor Capital B.V.","Klöckner & Co SE","DE000KC01000",0.8,"2013-01-30"
"UBS O'Connor Limited","Klöckner & Co SE","DE000KC01000",0.7,"2013-01-30"
"Highbridge Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888",0.6,"2013-01-29"
"Castle Creek Arbitrage LLC","TUI AG","DE000TUAG000",0.94,"2013-01-29"
"Pine River Capital Management L.P.","TUI AG","DE000TUAG000",0.86,"2013-01-29"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",1.57,"2013-01-29"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405",0.45,"2013-01-28"
"Oxford Asset Management","IVG Immobilien AG","DE0006205701",0.51,"2013-01-28"
"Citadel Advisors LLC","SolarWorld Aktiengesellschaft","DE0005108401",2.55,"2013-01-25"
"Marble Arch Investments","SolarWorld Aktiengesellschaft","DE0005108401",1.61,"2013-01-25"
"Ennismore Fund Management Limited","Delticom AG","DE0005146807",0.7,"2013-01-25"
"Highbridge Capital Management, LLC","IVG Immobilien AG","DE0006205701",0.6,"2013-01-25"
"Barrington Wilshire LLC","Nordex SE","DE000A0D6554",1.92,"2013-01-25"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",3.52,"2013-01-25"
"AQR Capital Management, LLC","Dialog Semiconductor Plc","GB0059822006",1.99,"2013-01-25"
"BlackRock Institutional Trust Company, National Association","Salzgitter Aktiengesellschaft","DE0006202005",0.62,"2013-01-24"
"Adelphi Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.72,"2013-01-24"
"Barrington Wilshire LLC","TAG Immobilien AG","DE0008303504",0.5,"2013-01-24"
"AKO Capital LLP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2",0.48,"2013-01-24"
"D. E. Shaw & Co. (U.K.), Ltd.","Drägerwerk AG & Co. KGaA","DE0005550602",1.11,"2013-01-23"
"Arrowgrass Capital Partners LLP","Drägerwerk AG & Co. KGaA","DE0005550636",0.85,"2013-01-23"
"Highbridge Capital Management, LLC","IVG Immobilien AG","DE0006205701",0.5,"2013-01-23"
"AKO Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.2,"2013-01-23"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",1.61,"2013-01-23"
"JPMorgan Asset Management (UK) Ltd","AIXTRON SE","DE000A0WMPJ6",0.34,"2013-01-23"
"AQR Capital Management, LLC","Sky Deutschland AG","DE000SKYD000",0.4,"2013-01-23"
"Castle Creek Arbitrage LLC","TUI AG","DE000TUAG000",0.64,"2013-01-23"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",3.45,"2013-01-23"
"Ennismore Fund Management Limited","Delticom AG","DE0005146807",0.82,"2013-01-22"
"AKO Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.55,"2013-01-22"
"AKO Capital LLP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2",0.59,"2013-01-22"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",1.52,"2013-01-22"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",1.67,"2013-01-22"
"Highbridge Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888",0.51,"2013-01-21"
"Egerton Capital Limited as general partner of Egerton Capital Limited Partnership","Dialog Semiconductor Plc","GB0059822006",0,"2013-01-21"
"Ferox Capital LLP","Qiagen N.V","NL0000240000",0.56,"2013-01-21"
"Cadian Capital Management LLC","Axel Springer Aktiengesellschaft","DE0005501357",1.03,"2013-01-18"
"Adelphi Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.83,"2013-01-18"
"Adelphi Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.83,"2013-01-18"
"AQR Capital Management, LLC","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.93,"2013-01-18"
"Adelphi Capital LLP","METRO AG","DE0007257503",0.17,"2013-01-18"
"PointState Capital LP","K+S Aktiengesellschaft","DE000KSAG888",1.2,"2013-01-18"
"Oxford Asset Management","SAF-HOLLAND GmbH","LU0307018795",1.4,"2013-01-18"
"Adelphi Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.97,"2013-01-17"
"Viking Global Investors LP","K+S Aktiengesellschaft","DE000KSAG888",1.53,"2013-01-17"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",1.7,"2013-01-17"
"Oxford Asset Management","SAF-HOLLAND GmbH","LU0307018795",1.34,"2013-01-17"
"Barrington Wilshire LLC","IVG Immobilien AG","DE0006205701",2.21,"2013-01-16"
"BlackRock Institutional Trust Company, National Association","WINCOR NIXDORF International GmbH","DE000A0CAYB2",0.51,"2013-01-16"
"Viking Global Investors LP","K+S Aktiengesellschaft","DE000KSAG888",1.43,"2013-01-16"
"Polygon Global Partners LLP","TUI AG","DE000TUAG000",0.25,"2013-01-16"
"Oxford Asset Management","SAF-HOLLAND GmbH","LU0307018795",1.26,"2013-01-16"
"Marshall Wace LLP","LANXESS Aktiengesellschaft","DE0005470405",0.5,"2013-01-15"
"BlackRock Institutional Trust Company, National Association","Salzgitter Aktiengesellschaft","DE0006202005",0.53,"2013-01-15"
"Barrington Wilshire LLC","Nordex SE","DE000A0D6554",1.82,"2013-01-15"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",1.45,"2013-01-15"
"Barrington Wilshire LLC","TAG Immobilien AG","DE0008303504",0.59,"2013-01-14"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6",0.72,"2013-01-14"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",1.59,"2013-01-14"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",1.38,"2013-01-14"
"AQR Capital Management, LLC","Dialog Semiconductor Plc","GB0059822006",2.02,"2013-01-14"
"Oxford Asset Management","SAF-HOLLAND GmbH","LU0307018795",1.12,"2013-01-14"
"PointState Capital LP","K+S Aktiengesellschaft","DE000KSAG888",1.18,"2013-01-13"
"PointState Capital LP","K+S Aktiengesellschaft","DE000KSAG888",1.1,"2013-01-11"
"Marshall Wace LLP","Aareal Bank AG","DE0005408116",0.5,"2013-01-10"
"AKO Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.67,"2013-01-10"
"Barrington Wilshire LLC","TAG Immobilien AG","DE0008303504",0.68,"2013-01-10"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6",0.66,"2013-01-10"
"Meditor Capital Management Limited","HUGO BOSS AG","DE000A1PHFF7",0.81,"2013-01-10"
"AQR Capital Management, LLC","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",0.84,"2013-01-10"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",1.48,"2013-01-10"
"Viking Global Investors LP","K+S Aktiengesellschaft","DE000KSAG888",1.32,"2013-01-10"
"AQR Capital Management, LLC","Dialog Semiconductor Plc","GB0059822006",1.95,"2013-01-10"
"Egerton Capital Limited as general partner of Egerton Capital Limited Partnership","Dialog Semiconductor Plc","GB0059822006",0.69,"2013-01-10"
"Marble Arch Investments","United Internet AG","DE0005089031",0.71,"2013-01-09"
"AKO Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.9,"2013-01-09"
"Wellington Management Company, LLP","Deutsche EuroShop AG","DE0007480204",2.55,"2013-01-09"
"Meditor Capital Management Limited","ProSiebenSat.1 Media AG","DE0007771172",0.71,"2013-01-09"
"Barrington Wilshire LLC","TAG Immobilien AG","DE0008303504",0.77,"2013-01-09"
"AKO Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",1.02,"2013-01-08"
"Asian Century Quest Capital LLC","AIXTRON SE","DE000A0WMPJ6",0.19,"2013-01-08"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",3.57,"2013-01-08"
"Weiss Asset Management LP","DIC Asset AG","DE0005098404",0.48,"2013-01-07"
"Ennismore Fund Management Limited","Delticom AG","DE0005146807",0.74,"2013-01-07"
"Barrington Wilshire LLC","IVG Immobilien AG","DE0006205701",2.16,"2013-01-07"
"AKO Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",1.2,"2013-01-07"
"Highbridge Capital Management, LLC","TAG Immobilien AG","DE0008303504",1.67,"2013-01-07"
"Asian Century Quest Capital LLC","AIXTRON SE","DE000A0WMPJ6",0.53,"2013-01-07"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",1.76,"2013-01-07"
"BlackRock Institutional Trust Company, National Association","Klöckner & Co SE","DE000KC01000",0.88,"2013-01-07"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",1.67,"2013-01-07"
"Oxford Asset Management","SAF-HOLLAND GmbH","LU0307018795",1.02,"2013-01-07"
"Highbridge Capital Management, LLC","Drillisch Aktiengesellschaft","DE0005545503",0.7,"2013-01-04"
"AKO Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",1.34,"2013-01-04"
"PointState Capital LP","K+S Aktiengesellschaft","DE000KSAG888",1.02,"2013-01-04"
"Weiss Asset Management LP","DIC Asset AG","DE0005098404",0.59,"2013-01-03"
"AQR Capital Management, LLC","Infineon Technologies AG","DE0006231004",0.7,"2013-01-03"
"BlackRock Institutional Trust Company, National Association","ElringKlinger AG","DE0007856023",0.79,"2013-01-03"
"Barrington Wilshire LLC","SMA Solar Technology AG","DE000A0DJ6J9",1.3,"2013-01-03"
"PointState Capital LP","K+S Aktiengesellschaft","DE000KSAG888",0.96,"2013-01-03"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",1.75,"2013-01-03"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",1.85,"2013-01-02"
"BlackRock Institutional Trust Company, National Association","Klöckner & Co SE","DE000KC01000",0.96,"2013-01-02"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",1.52,"2013-01-02"
"PointState Capital LP","K+S Aktiengesellschaft","DE000KSAG888",0.86,"2013-01-02"
"Pine River Capital Management L.P.","TUI AG","DE000TUAG000",1.16,"2013-01-02"
"Egerton Capital Limited as general partner of Egerton Capital Limited Partnership","Dialog Semiconductor Plc","GB0059822006",1.21,"2013-01-02"
"Luxor Capital Group, LP","Axel Springer Aktiengesellschaft","DE0005501357",0.58,"2012-12-28"
"Egerton Capital Limited as general partner of Egerton Capital Limited Partnership","Dialog Semiconductor Plc","GB0059822006",1.1,"2012-12-28"
"Egerton Capital Limited as general partner of Egerton Capital Limited Partnership","Dialog Semiconductor Plc","GB0059822006",1.03,"2012-12-27"
"Citadel Advisors LLC","SolarWorld Aktiengesellschaft","DE0005108401",2.8,"2012-12-21"
"LINDEN ADVISORS LP","TAG Immobilien AG","DE0008303504",1.38,"2012-12-21"
"AQR Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888",0.49,"2012-12-21"
"Viking Global Investors LP","K+S Aktiengesellschaft","DE000KSAG888",1.2,"2012-12-21"
"Egerton Capital Limited as general partner of Egerton Capital Limited Partnership","Dialog Semiconductor Plc","GB0059822006",0.95,"2012-12-21"
"Citadel Advisors LLC","SolarWorld Aktiengesellschaft","DE0005108401",2.75,"2012-12-20"
"Barrington Wilshire LLC","IVG Immobilien AG","DE0006205701",2.07,"2012-12-20"
"AQR Capital Management, LLC","Infineon Technologies AG","DE0006231004",0.69,"2012-12-20"
"Barrington Wilshire LLC","TAG Immobilien AG","DE0008303504",0.86,"2012-12-20"
"Barrington Wilshire LLC","Nordex SE","DE000A0D6554",1.73,"2012-12-20"
"AQR Capital Management, LLC","AIXTRON SE","DE000A0WMPJ6",0.53,"2012-12-20"
"AQR Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888",0.51,"2012-12-20"
"AQR Capital Management, LLC","Sky Deutschland AG","DE000SKYD000",0.49,"2012-12-20"
"Polygon Global Partners LLP","TUI AG","DE000TUAG000",0.56,"2012-12-20"
"Citadel Advisors LLC","Wacker Chemie AG","DE000WCH8881",1.81,"2012-12-20"
"Barrington Wilshire LLC","IVG Immobilien AG","DE0006205701",2.18,"2012-12-19"
"Trimax Capital S.A.","Praktiker AG","DE000A0F6MD5",0,"2012-12-19"
"BlackRock Institutional Trust Company, National Association","Klöckner & Co SE","DE000KC01000",1.09,"2012-12-19"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",1.48,"2012-12-19"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",3.67,"2012-12-19"
"Pine River Capital Management L.P.","Pine River Capital Management LP","DE000TUAG000",1.23,"2012-12-19"
"AQR Capital Management, LLC","Dialog Semiconductor Plc","GB0059822006",1.8,"2012-12-19"
"Highbridge Capital Management, LLC","KUKA Aktiengesellschaft","DE0006204407",0.49,"2012-12-18"
"Barrington Wilshire LLC","IVG Immobilien AG","DE0006205701",2.24,"2012-12-18"
"LINDEN ADVISORS LP","TAG Immobilien AG","DE0008303504",1.49,"2012-12-18"
"Barrington Wilshire LLC","Nordex SE","DE000A0D6554",1.82,"2012-12-18"
"Barrington Wilshire LLC","SMA Solar Technology AG","DE000A0DJ6J9",1.28,"2012-12-18"
"AQR Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888",0.49,"2012-12-18"
"Adelphi Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",1.02,"2012-12-17"
"LINDEN ADVISORS LP","TAG Immobilien AG","DE0008303504",1.6,"2012-12-17"
"Sothic Capital Management LLP","Praktiker AG","DE000A0F6MD5",2.52,"2012-12-17"
"Adelphi Capital LLP","Celesio AG","DE000CLS1001",0.61,"2012-12-17"
"AQR Capital Management, LLC","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",0.77,"2012-12-17"
"Citadel Advisors LLC","SolarWorld Aktiengesellschaft","DE0005108401",2.54,"2012-12-14"
"Highbridge Capital Management, LLC","Drillisch Aktiengesellschaft","DE0005545503",0.69,"2012-12-14"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",1.56,"2012-12-14"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",1.95,"2012-12-13"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",1.65,"2012-12-13"
"Ennismore Fund Management Limited","Delticom AG","DE0005146807",0.66,"2012-12-12"
"Highbridge Capital Management, LLC","TAG Immobilien AG","DE0008303504",1.7,"2012-12-12"
"LINDEN ADVISORS LP","TAG Immobilien AG","DE0008303504",2.12,"2012-12-12"
"Egerton Capital Limited as general partner of Egerton Capital Limited Partnership","Dialog Semiconductor","GB0059822006",0.84,"2012-12-12"
"CQS (UK) LLP","TAG Immobilien AG","DE0008303504",1.61,"2012-12-11"
"Highbridge Capital Management, LLC","TAG Immobilien AG","DE0008303504",2.19,"2012-12-11"
"Polygon Global Partners LLP","TAG Immobilien AG","DE0008303504",0.52,"2012-12-11"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",2,"2012-12-11"
"Egerton Capital Limited as general partner of Egerton Capital Limited Partnership","Dialog Semiconductor","GB0059822006",0.71,"2012-12-11"
"AQR Capital Management, LLC","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.81,"2012-12-10"
"Barrington Wilshire LLC","TAG Immobilien AG","DE0008303504",1.01,"2012-12-10"
"CQS (UK) LLP","TAG Immobilien AG","DE0008303504",1.59,"2012-12-10"
"AKO Capital LLP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2",0.89,"2012-12-10"
"Sothic Capital Management LLP","Praktiker AG","DE000A0F6MD5",4.94,"2012-12-10"
"Barrington Wilshire LLC","AIXTRON SE","DE000A0WMPJ6",1.7,"2012-12-10"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",2.17,"2012-12-10"
"Ennismore Fund Management Limited","Conergy AG","DE000A1KRCK4",2.42,"2012-12-10"
"AQR Capital Management, LLC","K+S Aktiengesellschaft","DE000KSAG888",0.51,"2012-12-10"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",3.78,"2012-12-10"
"Ferox Capital LLP","Qiagen N.V","NL0000240000",0.66,"2012-12-10"
"Highbridge Capital Management, LLC","KUKA Aktiengesellschaft","DE0006204407",0.59,"2012-12-07"
"AQR Capital Management, LLC","Infineon Technologies AG","DE0006231004",0.73,"2012-12-07"
"CQS (UK) LLP","TAG Immobilien AG","DE0008303504",1.85,"2012-12-07"
"AKO Capital LLP","Wincor Nixdorf Aktiengesellschaft","DE000A0CAYB2",0.74,"2012-12-07"
"Sothic Capital Management LLP","Praktiker AG","DE000A0F6MD5",4.68,"2012-12-07"
"Trimax Capital S.A.","Praktiker AG","DE000A0F6MD5",0.86,"2012-12-07"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",2.7,"2012-12-07"
"BlackRock Advisors (UK) Limited","Süss MicroTec AG","DE000A1K0235",0.49,"2012-12-07"
"AQR Capital Management, LLC","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",0.83,"2012-12-07"
"BlackRock Institutional Trust Company, National Association","Klöckner & Co SE","DE000KC01000",1.1,"2012-12-07"
"Oxford Asset Management","SAF-HOLLAND GmbH","LU0307018795",0.99,"2012-12-07"
"Highbridge Capital Management, LLC","KUKA Aktiengesellschaft","DE0006204407",0.62,"2012-12-06"
"Trimax Capital S.A.","Praktiker AG","DE000A0F6MD5",0.77,"2012-12-06"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",3,"2012-12-06"
"Highbridge Capital Management, LLC","Klöckner & Co SE","DE000KC01000",1.76,"2012-12-06"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",3.8,"2012-12-06"
"Citadel Advisors LLC","SolarWorld Aktiengesellschaft","DE0005108401",2.42,"2012-12-05"
"Trimax Capital S.A.","Praktiker AG","DE000A0F6MD5",0.65,"2012-12-05"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",3.18,"2012-12-05"
"Ennismore Fund Management Limited","Conergy AG","DE000A1KRCK4",2.32,"2012-12-05"
"Viking Global Investors LP","K+S Aktiengesellschaft","DE000KSAG888",1.03,"2012-12-05"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",3.72,"2012-12-05"
"Pine River Capital Management L.P.","TUI AG","DE000TUAG000",1.4,"2012-12-05"
"Citadel Advisors LLC","SolarWorld Aktiengesellschaft","DE0005108401",2.3,"2012-12-04"
"D. E. Shaw & Co., L.P.","LEONI AG","DE0005408884",0.44,"2012-12-04"
"CQS (UK) LLP","TAG Immobilien AG","DE0008303504",1.58,"2012-12-04"
"Trimax Capital S.A.","Praktiker AG","DE000A0F6MD5",0.59,"2012-12-04"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",3.35,"2012-12-04"
"AQR Capital Management, LLC","Sky Deutschland AG","DE000SKYD000",0.51,"2012-12-04"
"Och-Ziff Management Europe Ltd.","TUI AG","DE000TUAG000",4.02,"2012-12-04"
"Oxford Asset Management","SAF-HOLLAND GmbH","LU0307018795",1.09,"2012-12-04"
"D. E. Shaw & Co., L.P.","LEONI AG","DE0005408884",0.52,"2012-12-03"
"Adelphi Capital LLP","STADA Arzneimittel Aktiengesellschaft","DE0007251803",0.94,"2012-12-03"
"Meditor Capital Management Limited","ProSiebenSat.1 Media AG","DE0007771172",0.47,"2012-12-03"
"Barrington Wilshire LLC","TAG Immobilien AG","DE0008303504",0.92,"2012-12-03"
"Highbridge Capital Management, LLC","TAG Immobilien AG","DE0008303504",2.05,"2012-12-03"
"Citadel Advisors LLC","AIXTRON SE","DE000A0WMPJ6",3.69,"2012-12-03"
"AQR Capital Management, LLC","Kloeckner & Co USA Beteiligungs GmbH","DE000KC01000",0.79,"2012-12-03"
"Viking Global Investors LP","K+S Aktiengesellschaft","DE000KSAG888",0.9,"2012-12-03"
